words,ents,anns
го,-,
століття,-,
",",-,
що,-,
заклало,-,
підґрунтя,-,
для,-,
нинішньої,-,
соціальної,-,
моделі,-,
",",-,
з,-,
високорозвиненою,-,
та,-,
змішаною,-,
економікою,-,
.,-,
</S>,-,
<S>,-,
Конституція,-,
Данії,Данії | I-LOC,LOC
",",-,
прийнята,-,
5,-,
червня,-,
1849,-,
року,-,
",",-,
завершила,-,
еру,-,
абсолютної,-,
монархії,-,
",",-,
що,-,
почалась,-,
у,-,
1660,-,
році,-,
.,-,
Встановлена,-,
тим,-,
самим,-,
конституційна,-,
монархія,-,
",",-,
поточним,-,
монархом,-,
якої,-,
є,-,
королева,-,
Маргрете,Маргрете | I-PER,
II,II | I-PER,
",",-,
влаштована,-,
як,-,
парламентська,-,
демократія,-,
.,-,
Уряд,-,
та,-,
національний,-,
парламент,-,
засідають,засідають | I-ORG,
у,-,
Копенгагені,Копенгагені | I-LOC,LOC
",",-,
який,-,
є,-,
столицею,-,
",",-,
найбільшим,-,
містом,-,
і,-,
торговим,-,
центром,-,
країни,країни | I-LOC,
.,. | I-LOC,
Данія,Данія | I-LOC,LOC
є,-,
членом,-,
Європейського,Європейського | I-ORG,LOC
Союзу,Союзу | I-ORG,LOC
з,-,
1973,-,
року,-,
;,-,
користуючись,-,
при,-,
тому,-,
низкою,-,
прав,-,
на,-,
неучасть,неучасть | I-LOC,
;,-,
країна,-,
зберігає,-,
власну,-,
валюту,-,
-,-,
данську,-,
крону,-,
.,-,
Данія,Данія | I-LOC,LOC
є,-,
однією,-,
із,-,
країн,-,
-,-,
засновників,-,
та,-,
членів,-,
НАТО,НАТО | I-ORG,
",",-,
Північної,Північної | I-ORG,
Ради,Ради | I-ORG,
",",-,
Ради,Ради | I-LOC,
Європи,Європи | I-LOC,LOC
",",-,
Організації,Організації | I-ORG,
Економічного,Економічного | I-ORG,
Співробітництва,-,
та,-,
Розвитку,-,
та,-,
Організації,Організації | I-ORG,
Обєднаних,-,
Націй,-,
;,-,
країна,-,
також,-,
є,-,
частиною,-,
Шенгенської,-,LOC
зони,-,
.,-,
</S>,-,
<S>,-,
Данія,Данія | I-LOC,LOC
посідає,-,
дуже,-,
високі,-,
місця,-,
у,-,
низці,-,
рейтингів,-,
",",-,
як,-,
то,-,
якості,-,
життя,-,
",",-,
здоровя,-,
",",-,
освіти,-,
",",-,
захисту,-,
громадських,-,
прав,-,
та,-,
свобод,-,
",",-,
конкурентоспроможності,-,
",",-,
демократії,-,
",",-,
рівності,-,
",",-,
процвітання,-,
",",-,
та,-,
людського,-,
розвитку,-,
.,-,
Данія,Данія | I-LOC,LOC
часто,-,
оцінюється,-,
",",-,
як,-,
одна,-,
з,-,
найщасливіших,-,
країн,-,
у,-,
світі,-,
в,-,
крос,-,
-,-,
національних,-,
дослідженях,-,
рівня,-,
щастя,-,
.,-,
Країна,-,
посідає,-,
перше,-,
місце,-,
у,-,
світі,-,
у,-,
рейтингу,-,
соціальної,-,
мобільності,-,
",",-,
одну,-,
з,-,
провідних,-,
позицій,-,
у,-,
рейтингу,-,
країн,-,
з,-,
найкращими,-,
показниками,-,
рівності,-,
доходів,-,
",",-,
має,-,
один,-,
з,-,
найвищих,-,
у,-,
світі,-,
номінальним,-,
ВВП,-,
на,-,
душу,-,
населення,-,
",",-,
і,-,
один,-,
з,-,
найвищих,-,
у,-,
світі,-,
податок,-,
на,-,
індивідуальний,-,
дохід,-,
.,-,
Більшість,-,
данців,-,
є,-,
членами,-,
народної,-,
церкви,-,
",",-,
хоча,-,
конституція,-,
гарантує,-,
свободу,-,
віросповідання,-,
.,-,
</S>,-,
<S>,-,
"""",-,
Домініканська,-,LOC
Республіка,-,LOC
"""",-,
(,-,
),-,
—,-,
країна,-,
карибського,карибського | I-LOC,
басейну,-,
",",-,
що,-,
займає,-,
східні,-,
дві,-,
третини,-,
острова,-,
Еспаньйола,Еспаньйола | I-LOC,LOC
",",-,
на,-,
схід,-,
від,-,
держави,-,
Гаїті,Гаїті | I-LOC,LOC
.,. | I-LOC,
Острів,-,
розташований,-,
на,-,
заході,-,
від,-,
Пуерто,Пуерто | I-LOC,LOC
-,- | I-LOC,LOC
Рико,Рико | I-LOC,LOC
та,-,
на,-,
схід,-,
від,-,
Куби,Куби | I-LOC,LOC
і,-,
Ямайки,Ямайки | I-LOC,LOC
.,-,
Країна,-,
має,-,
найбагатшу,-,
і,-,
найдовшу,-,
</S>,-,
<S>,-,
"""",-,
Еритрея,-,LOC
"""",-,
(,-,
повна,-,
назва,-,
—,-,
"""",-,
Держава,-,LOC
Еритрея,-,LOC
"""",-,
;,-,
у,-,
перекладі,-,
із,-,
грецької,-,
—,-,
червоний,-,
</S>,-,
<S>,-,
"""",-,
Естонія,-,LOC
"""",-,
(,-,
),-,
",",-,
офіційно,-,
"""",-,
Естонська,-,LOC
Республіка,-,LOC
"""",-,
(,-,
),-,
—,-,
держава,-,
у,-,
Північній,Північній | I-LOC,LOC
Європі,Європі | I-LOC,LOC
",",-,
що,-,
межує,-,
з,-,
Латвією,Латвією | I-LOC,LOC
на,-,
півдні,-,
та,-,
Росією,Росією | I-LOC,LOC
на,-,
сході,-,
",",-,
на,-,
півночі,-,
омивається,-,
водами,-,
Фінської,-,LOC
затоки,-,LOC
",",-,
на,-,
заході,-,
—,-,
водами,-,
Балтійського,-,LOC
моря,-,LOC
та,-,
Ризької,Ризької | I-LOC,LOC
затоки,-,LOC
.,-,
Площа,-,
країни,-,
становить,-,
45,-,
226,-,
км,-,
²,-,
",",-,
столицею,-,
і,-,
найбільшим,-,
містом,-,
є,-,
Таллінн,Таллінн | I-LOC,LOC
.,-,
</S>,-,
<S>,-,
Естонія,Естонія | I-LOC,LOC
—,-,
демократична,демократична | I-LOC,
парламентська,парламентська | I-LOC,
республіка,республіка | I-LOC,
",",-,
що,-,
поділяється,-,
на,-,
15,-,
повітів,-,
.,-,
За,-,
чисельністю,-,
населенням,-,
",",-,
що,-,
налічує,-,
"1,29",-,
млн,-,
осіб,-,
",",-,
це,-,
одна,-,
із,-,
найменших,-,
країн,-,
Європейського,Європейського | I-ORG,LOC
Союзу,Союзу | I-ORG,LOC
",",-,
Єврозони,Єврозони | I-ORG,LOC
та,-,
НАТО,НАТО | I-ORG,
.,-,
Естонія,Естонія | I-LOC,LOC
має,-,
найвищий,-,
валовий,-,
внутрішній,-,
продукт,-,
на,-,
одну,-,
особу,-,
серед,-,
колишніх,-,
республік,-,
Радянського,Радянського | I-ORG,LOC
Союзу,Союзу | I-ORG,LOC
</S>,-,
<S>,-,
"""",-,
Ефіопія,-,LOC
"""",-,
(,-,
",",-,
"""",-,
Ітіопія,-,LOC
"""",-,
;,-,
раніше,-,
в,-,
укр,-,
.,-,
правописі,-,
"""",-,
Етіопія,-,LOC
"""",-,
",",-,
"""",-,
Федеративна,-,LOC
Демократична,-,LOC
Республіка,-,LOC
Ефіопія,-,LOC
"""",-,
(,-,
</S>,-,
<S>,-,
"""",-,
Держава,-,LOC
Ізраїль,-,LOC
"""",-,
—,-,
країна,-,
в,-,
південно,-,
-,-,
західній,-,
Азії,Азії | I-LOC,LOC
на,-,
південно,-,
-,-,
східному,-,
узбережжі,-,
Середземного,-,LOC
моря,-,LOC
.,-,
</S>,-,
<S>,-,
На,-,
півночі,-,
межує,-,
з,-,
Ліваном,Ліваном | I-LOC,LOC
",",-,
на,-,
північному,-,
сході,-,
—,-,
з,-,
Сирією,Сирією | I-LOC,LOC
",",-,
на,-,
сході,-,
—,-,
з,-,
Йорданією,Йорданією | I-LOC,LOC
",",-,
на,-,
південному,-,
заході,-,
—,-,
з,-,
Єгиптом,Єгиптом | I-LOC,LOC
.,-,
</S>,-,
<S>,-,
Незалежність,-,
держави,-,
проголошено,-,
14,-,
травня,-,
1948,-,
року,-,
",",-,
на,-,
підставі,-,
резолюції,-,
Генеральної,Генеральної | I-ORG,
Асамблеї,Асамблеї | I-ORG,
ООН,ООН | I-ORG,
№,-,
181,-,
від,-,
29,-,
листопада,-,
1947,-,
року,-,
.,-,
</S>,-,
<S>,-,
Згідно,-,
з,-,
Декларацією,-,
Незалежності,Незалежності | I-LOC,
",",-,
Ізраїль,Ізраїль | I-LOC,LOC
є,-,
єврейською,-,
державою,-,
.,-,
Водночас,Водночас | I-LOC,
Ізраїль,Ізраїль | I-LOC,LOC
є,-,
багатонаціональною,багатонаціональною | I-LOC,
та,-,
демократичною,демократичною | I-LOC,
державою,-,
",",-,
де,-,
",",-,
разом,-,
з,-,
євреями,-,
",",-,
рівні,-,
права,-,
мають,-,
всі,-,
інші,-,
релігійні,-,
та,-,
етнічні,-,
групи,-,
:,-,
араби,-,
-,-,
мусульмани,-,
",",-,
араби,-,
-,-,
християни,-,
",",-,
друзи,-,
",",-,
бедуїни,-,
та,-,
ін,ін | I-PER,
.,-,
Зокрема,-,
",",-,
арабські,-,
партії,-,
та,-,
депутати,-,
представлені,-,
в,-,
Кнесеті,-,
</S>,-,
<S>,-,
Файл:Sorud,-,
-,-,
e,-,
Mellí,-,
-,-,
e,-,
Yomhurí,-,
-,-,
e,-,
Eslamí,-,
-,-,
e,-,
Irán,-,
(,-,
Philharmonic,-,
Orchestra,-,
),-,
.,-,
ogg,-,
</S>,-,
<S>,-,
"""",-,
Ісламська,-,LOC
Республіка,-,LOC
Іран,-,LOC
"""",-,
(,-,
—,-,
"""",-,
Джомгурі,-,
-,-,
йе,-,
Есламі,-,
-,-,
йє,-,
Іран,Іран | I-LOC,LOC
"""",-,
",",-,
також,-,
використовуються,-,
назви,-,
"""",-,
Іран,-,LOC
"""",-,
(,-,
—,-,
"""",-,
Країна,-,
аріїв,-,
"""",-,
),-,
або,-,
застаріла,-,
назва,-,
"""",-,
Персія,-,LOC
"""",-,
(,-,
що,-,
є,-,
лише,-,
однією,-,
з,-,
областей,-,
),-,
),-,
—,-,
держава,-,
на,-,
південному,-,
заході,-,
Азії,Азії | I-LOC,LOC
.,. | I-LOC,
Столиця,-,
—,-,
місто,-,
Тегеран,Тегеран | I-LOC,LOC
.,-,
</S>,-,
<S>,-,
На,-,
заході,-,
межує,-,
з,-,
Іраком,Іраком | I-LOC,LOC
",",-,
на,-,
північному,-,
заході,-,
—,-,
з,-,
Азербайджаном,Азербайджаном | I-LOC,LOC
",",-,
Вірменією,Вірменією | I-LOC,LOC
",",-,
Туреччиною,Туреччиною | I-LOC,LOC
",",-,
на,-,
півночі,-,
—,-,
з,-,
Туркменістаном,Туркменістаном | I-LOC,LOC
",",-,
на,-,
сході,-,
—,-,
з,-,
Афганістаном,Афганістаном | I-LOC,LOC
і,-,
Пакистаном,Пакистаном | I-LOC,LOC
.,-,
</S>,-,
<S>,-,
На,-,
півночі,-,
омивається,-,
Каспійським,Каспійським | I-LOC,LOC
морем,-,LOC
",",-,
на,-,
півдні,-,
і,-,
південному,-,
-,-,
сході,-,
—,-,
Перською,Перською | I-LOC,LOC
затокою,-,LOC
.,-,
</S>,-,
<S>,-,
Історія,-,
Ірану,Ірану | I-LOC,LOC
за,-,
письмовими,-,
джерелами,-,
охоплює,-,
майже,-,
пять,-,
тисяч,-,
років,-,
.,-,
Перша,-,
держава,-,
на,-,
його,-,
території,-,
—,-,
Елам,Елам | I-LOC,LOC
—,-,
виникла,-,
в,-,
Хузестані,-,LOC
в,-,
III,-,
тисячолітті,-,
до,-,
н,-,
.,-,
е,-,
.,-,
Перська,-,LOC
імперія,імперія | I-LOC,LOC
при,-,
Дарії,Дарії | I-PER,
I,I | I-PER,
Ахеменіді,Ахеменіді | I-PER,
простягалася,-,
вже,-,
від,-,
Греції,Греції | I-LOC,LOC
і,-,
Киренаїки,-,LOC
до,-,
річки,-,
Інд,Інд | I-LOC,LOC
.,-,
Протягом,-,
багатьох,-,
століть,-,
панівною,-,
релігією,-,
був,-,
зороастризм,зороастризм | I-PER,
.,-,
Близько,-,
XVI,-,
століття,-,
державною,-,
релігією,-,
Ірану,Ірану | I-LOC,LOC
стає,-,
шиїзм,шиїзм | I-LOC,
.,-,
</S>,-,
<S>,-,
У,-,
1979,-,
в,-,
Ірані,Ірані | I-LOC,LOC
відбулася,-,
Ісламська,-,
революція,революція | I-LOC,
під,-,
проводом,-,
аятолли,аятолли | I-PER,
Хомейні,Хомейні | I-PER,
",",-,
в,-,
ході,-,
якої,-,
була,-,
повалена,-,
монархія,-,
і,-,
проголошена,-,
ісламська,-,
республіка,республіка | I-LOC,
.,-,
</S>,-,
<S>,-,
Іран,Іран | I-LOC,LOC
володіє,-,
другою,-,
за,-,
розміром,-,
у,-,
Західній,Західній | I-LOC,LOC
Азії,Азії | I-LOC,LOC
та,-,
ісламському,-,
світі,-,
економікою,-,
після,-,
Туреччини,Туреччини | I-LOC,LOC
</S>,-,
<S>,-,
"""",-,
Ірландія,-,
"""",-,
(,-,
—,-,
",",-,
),-,
",",-,
"""",-,
Республіка,Республіка | I-LOC,LOC
Ірландія,Ірландія | I-LOC,LOC
"""",-,
(,-,
",",-,
),-,
—,-,
держава,-,
в,-,
північно,-,
-,-,
західній,-,
Європі,Європі | I-LOC,LOC
на,-,
5,-,
/,-,
6,-,
території,-,
о,-,
.,. | I-LOC,
Ірландія,Ірландія | I-LOC,LOC
",",-,
що,-,
був,-,
поділений,-,
у,-,
1921,-,
році,-,
.,-,
Вираз,-,
«,-,
Республіка,Республіка | I-LOC,LOC
Ірландія,Ірландія | I-LOC,LOC
»,-,
(,-,
</S>,-,
<S>,-,
"""",-,
Італія,-,LOC
"""",-,
(,-,
),-,
",",-,
"""",-,
Італійська,-,LOC
Республіка,-,LOC
"""",-,
(,-,
),-,
—,-,
держава,-,
на,-,
півдні,-,
Європи,Європи | I-LOC,LOC
",",-,
у,-,
Середземноморї,Середземноморї | I-LOC,LOC
.,-,
Займає,-,
Апеннінський,Апеннінський | I-LOC,LOC
півострів,-,LOC
",",-,
Паданську,-,LOC
рівнину,-,LOC
",",-,
південні,-,
схили,-,
Альп,-,LOC
",",-,
острови,-,LOC
Сицилія,Сицилія | I-LOC,LOC
",",-,
Сардинія,Сардинія | I-LOC,LOC
тощо,-,
.,-,
На,-,
суходолі,-,
Італія,Італія | I-LOC,LOC
межує,-,
з,-,
Францією,Францією | I-LOC,LOC
на,-,
північному,-,
заході,-,
",",-,
зі,-,
Швейцарією,Швейцарією | I-LOC,LOC
й,-,
Австрією,Австрією | I-LOC,LOC
на,-,
півночі,-,
та,-,
Словенією,Словенією | I-LOC,LOC
на,-,
північному,-,
сході,-,
.,-,
</S>,-,
<S>,-,
На,-,
території,-,
Італії,Італії | I-LOC,LOC
розташовані,-,
також,-,
такі,-,
державні,-,
утворення,-,
:,-,
Сан,Сан | I-LOC,LOC
-,- | I-LOC,LOC
Марино,Марино | I-LOC,LOC
",",-,
Ватикан,Ватикан | I-LOC,LOC
",",-,
Суверенний,-,
Мальтійський,-,
орден,-,
.,-,
</S>,-,
<S>,-,
Рим,Рим | I-LOC,LOC
",",-,
столиця,-,
Італії,Італії | I-LOC,LOC
",",-,
був,-,
протягом,-,
століть,-,
політичним,-,
та,-,
релігійним,-,
центром,-,
Західної,-,
цивілізації,-,
як,-,
столиця,-,
Римської,Римської | I-LOC,LOC
імперії,імперії | I-LOC,LOC
та,-,
місце,-,
Святого,-,
престолу,престолу | I-PER,
.,-,
Після,-,
занепаду,-,
західної,-,
Римської,Римської | I-LOC,LOC
імперії,імперії | I-LOC,LOC
",",-,
Італія,Італія | I-LOC,LOC
потерпала,-,
від,-,
численних,-,
нападів,-,
інших,-,
народів,-,
",",-,
від,-,
германських,-,
племен,-,
",",-,
таких,-,
як,-,
лангобарди,-,
та,-,
остготи,-,
",",-,
до,-,
візантійців,візантійців | I-LOC,
та,-,
пізніше,-,
норманів,-,
.,-,
Століттями,-,
пізніше,-,
Італія,Італія | I-LOC,LOC
стала,-,
місцем,-,
зародження,-,
Середньовічних,-,
морських,-,
республік,-,
та,-,
Ренесансу,-,
</S>,-,
<S>,-,
},-,
},-,
.,-,
",",-,
надзвичайно,-,
продуктивного,-,
інтелектуального,-,
руху,-,
",",-,
який,-,
згодом,-,
став,-,
всезагальним,-,
і,-,
формував,-,
наступний,-,
хід,-,
європейської,-,
думки,-,
.,-,
</S>,-,
<S>,-,
Більшу,-,
частину,-,
постримської,-,
історії,-,
Італія,Італія | I-LOC,LOC
була,-,
поділена,-,
на,-,
численні,-,
королівства,-,
та,-,
міста,-,
-,-,
держави,-,
(,-,
такі,-,
як,-,
Сардинське,-,LOC
королівство,королівство | I-LOC,LOC
",",-,
Королівство,-,LOC
обох,-,LOC
Сицилій,Сицилій | I-LOC,LOC
та,-,
Міланське,-,LOC
герцогство,-,LOC
),-,
",",-,
але,-,
обєдналась,-,
в,-,
1861,-,
році,-,
",",-,
протягом,-,
бурхливого,-,
періоду,-,
своєї,-,
історії,-,
відомого,-,
як,-,
Рісорджименто,-,
(,-,
—,-,
відродження,-,
),-,
.,-,
Наприкінці,-,
XIX,-,
століття,-,
",",-,
протягом,-,
Першої,-,
і,-,
до,-,
Другої,-,
світової,-,
війни,-,
Італія,Італія | I-LOC,LOC
володіла,-,
колоніальною,колоніальною | I-LOC,
імперією,-,
",",-,
яка,-,
поширила,-,
свою,-,
владу,-,
на,-,
Лівію,Лівію | I-LOC,LOC
",",-,
Еритрею,Еритрею | I-LOC,LOC
",",-,
Сомалі,Сомалі | I-LOC,LOC
",",-,
Ефіопію,Ефіопію | I-LOC,LOC
",",-,
Албанію,Албанію | I-LOC,LOC
",",-,
Додеканес,Додеканес | I-LOC,LOC
та,-,
на,-,
концесію,-,
в,-,
Тяньцзіні,-,LOC
</S>,-,
<S>,-,
"""",-,
Канада,-,LOC
"""",-,
(,-,
",",-,
",",-,
",",-,
),-,
—,-,
країна,-,
",",-,
що,-,
займає,-,
північну,-,
частину,-,
Північної,Північної | I-LOC,LOC
Америки,Америки | I-LOC,LOC
та,-,
майже,-,
половину,-,
площі,-,
континенту,-,
",",-,
простягаючись,-,
від,-,
Атлантичного,-,LOC
океану,-,LOC
на,-,
сході,-,
до,-,
Тихого,-,LOC
океану,-,LOC
на,-,
заході,-,
.,-,
Це,-,
друга,-,
за,-,
площею,-,
країна,-,
світу,-,
(,-,
9,-,
976,-,
140,-,
км,-,
²,-,
),-,
",",-,
що,-,
поступається,-,
лише,-,
Російській,-,LOC
федерації,-,LOC
.,. | I-LOC,
Канада,Канада | I-LOC,LOC
межує,-,
зі,-,
Сполученими,Сполученими | I-LOC,LOC
Штатами,Штатами | I-LOC,LOC
Америки,Америки | I-LOC,LOC
на,-,
півдні,-,
та,-,
північному,-,
-,-,
заході,-,
та,-,
має,-,
морські,-,
кордони,-,
з,-,
Францією,Францією | I-LOC,LOC
(,-,
о,-,
-,-,
ви,-,
Сен,-,LOC
-,-,LOC
Пєр,Пєр | I-LOC,LOC
і,-,LOC
Мікелон,-,LOC
),-,
і,-,
Ґренландією,Ґренландією | I-LOC,LOC
(,-,
королівство,королівство | I-ORG,LOC
Данія,Данія | I-ORG,LOC
),) | I-ORG,
.,-,
</S>,-,
<S>,-,
Територію,-,
",",-,
на,-,
якій,-,
зараз,-,
розташована,-,
Канада,Канада | I-LOC,LOC
",",-,
було,-,
заселено,-,
корінним,-,
населенням,-,
понад,-,
25,-,
тис,-,
.,-,
років,-,
тому,-,
.,-,
Починаючи,-,
з,-,
15,-,
-,-,
го,-,
століття,-,
",",-,
британські,-,
та,-,
французькі,французькі | I-LOC,
експедиції,-,
спершу,-,
досліджували,-,
",",-,
а,-,
потім,-,
одночасно,-,
заселяли,-,
атлантичне,-,
узбережжя,-,
країни,країни | I-LOC,
.,-,
Проте,-,
в,-,
1763,-,
році,-,
",",-,
після,-,
семи,-,
років,-,
війни,-,
",",-,
Франція,Франція | I-LOC,LOC
позбулася,-,
майже,-,
усіх,-,
своїх,-,
володінь,-,
у,-,
Північній,Північній | I-LOC,LOC
Америці,Америці | I-LOC,LOC
",",-,
включаючи,-,
Канаду,Канаду | I-LOC,LOC
.,-,
У,-,
1867,-,
році,-,
",",-,
внаслідок,-,
обєднання,-,
трьох,-,
Британських,Британських | I-LOC,LOC
північноамериканських,-,LOC
колоній,-,LOC
",",-,
Канада,Канада | I-LOC,LOC
сформувалася,-,
як,-,
федеральне,-,
утворення,-,
чотирьох,-,
провінцій,-,
у,-,
статусі,-,
британського,британського | I-LOC,
домініону,-,
</S>,-,
<S>,-,
"""",-,
Катар,-,LOC
"""",-,
(,-,
",",-,
Існують,-,
різні,-,
варіанти,-,
вимови,-,
назви,-,
держави,-,
.,-,
Деякі,-,
з,-,
них,-,
близькі,-,
до,-,
вимови,-,
місцевих,-,
жителів,-,
",",-,
інші,-,
дещо,-,
відрізняються,-,
(,-,
але,-,
легші,-,
для,-,
вимови,-,
іноземців,-,
),-,
.,-,
Ось,-,
деякі,-,
з,-,
них,-,
:,-,
",",-,
",",-,
",",-,
",",-,
</S>,-,
<S>,-,
(,-,
url,-,
=,-,
https,-,
:,-,
/,-,
/,-,
www.cia.gov,-,
/,-,
library,-,
/,-,
publications,-,
/,-,
the,-,
-,-,
world,-,
-,-,
factbook,-,
/,-,
geos,-,
/,-,
hk.html,-,
),-,
</S>,-,
<S>,-,
(,-,
url,-,
=,-,
http,-,
:,-,
/,-,
/,-,
www.imf.org,-,
/,-,
external,-,
/,-,
pubs,-,
/,-,
ft,-,
/,-,
weo,-,
/,-,
2010,-,
/,-,
2,-,
/,-,
weodata,-,
/,-,
weorept.aspx,-,
?,-,
sy,-,
=,-,
2010,-,
&,-,
ey,-,
=,-,
2010,-,
&,-,
scsm,-,
=,-,
1,-,
&,-,
ssd,-,
=,-,
1,-,
&,-,
sort,-,
=,-,
country,-,
&,-,
ds,-,
=,-,
.,-,
&,-,
br,-,
=,-,
1,-,
&,-,
c,-,
=,-,
532,-,
&,-,
s,-,
=,-,
NGDPD,-,
%,-,
2CNGDPDPC,-,
%,-,
2CPPPGDP,-,
%,-,
2CPPPPC,-,
&,-,
grp,-,
=,-,
.,-,
&,-,
a,-,
=,-,
&,-,
pr.x,-,
=,-,
29,-,
&,-,
pr.y,-,
=,-,
9,-,
),-,
</S>,-,
<S>,-,
"""",-,
Особливий,-,
адміністративний,адміністративний | I-ORG,
район,-,
Гонконг,Гонконг | I-LOC,LOC
"""",-,
(,-,
"""",-,
Сянган,-,LOC
"""",-,
;,-,
—,-,
"""",-,
сянган,-,
тебє,-,
сінчженцюй,-,
"""",-,
;,-,
",",-,
кант,-,
.,-,
"""",-,
хьонкон,-,
такпіт,-,
ханчінкхьой,-,
"""",-,
),-,
або,-,
скорочено,-,
"""",-,
Гонконг,Гонконг | I-LOC,LOC
"""",-,
(,-,
</S>,-,
<S>,-,
3,-,
.,-,
Не,-,
визнана,-,
Туреччиною,Туреччиною | I-LOC,LOC
",",-,
яка,-,
натомість,-,
визнає,-,
ТРПК,-,
.,-,
ТРПК,-,
у,-,
світі,-,
визнана,-,
лише,-,
Туреччиною,-,LOC
</S>,-,
<S>,-,
6,-,
.,-,
У,-,
північній,-,
частині,-,
використовується,-,
+,-,
90,-,
392,-,
(,-,
код,-,
регіону,-,
Туреччини,Туреччини | I-LOC,LOC
),-,
</S>,-,
<S>,-,
"""",-,
Республіка,-,LOC
Кіпр,-,LOC
"""",-,
(,-,
;,-,
),-,
—,-,
острівна,-,
держава,-,
на,-,
сході,-,
Середземного,-,
моря,-,
",",-,
113,-,
кілометрів,-,
на,-,
південь,-,
від,-,
Туреччини,Туреччини | I-LOC,LOC
і,-,
приблизно,-,
120,-,
кілометрів,-,
на,-,
захід,-,
від,-,
узбережжя,-,
Сирії,Сирії | I-LOC,LOC
і,-,
Лівану,Лівану | I-LOC,LOC
.,-,
Член,-,
Європейського,Європейського | I-ORG,LOC
союзу,союзу | I-ORG,LOC
з,-,
1,-,
травня,-,
2004,-,
року,-,
.,-,
Один,-,
з,-,
найпопулярніших,-,
туристичних,-,
напрямків,-,
Середземноморя,-,LOC
.,-,
</S>,-,
<S>,-,
Офіційно,-,
територія,-,
Республіки,Республіки | I-LOC,LOC
Кіпр,Кіпр | I-LOC,LOC
містить,-,
98,-,
%,-,
території,-,
острова,-,
Кіпр,Кіпр | I-LOC,LOC
",",-,
решту,-,
2,-,
%,-,
займають,-,
британські,-,
військові,-,
бази,-,
Акротирі,-,LOC
і,-,
Декелія,-,LOC
",",-,
а,-,
також,-,
прилеглі,-,
острови,-,
Айос,-,LOC
-,-,
Георгіос,Георгіос | I-LOC,LOC
",",-,
Єронісос,Єронісос | I-LOC,LOC
",",-,
Глукіотісса,-,LOC
",",-,
Кіла,-,LOC
",",-,
Кієдес,-,LOC
",",-,
Корділія,-,LOC
і,-,
Мазак,Мазак | I-LOC,LOC
.,-,
Де,-,
-,-,
факто,-,
після,-,
1974,-,
року,-,
острів,-,
розділений,-,
на,-,
дві,-,
частини,-,
",",-,
60,-,
%,-,
контролюється,-,
владою,-,
Республіки,Республіки | I-LOC,LOC
Кіпр,Кіпр | I-LOC,LOC
(,-,
в,-,
основному,-,
",",-,
населена,-,
греками,-,
),-,
",",-,
інша,-,
частина,-,
—,-,
Турецькою,Турецькою | I-LOC,LOC
Республікою,Республікою | I-LOC,LOC
Північного,Північного | I-LOC,LOC
Кіпру,Кіпру | I-LOC,LOC
(,-,
населена,-,
турками,турками | I-LOC,
),-,
.,-,
ТРПК,ТРПК | I-PER,LOC
визнана,-,
тільки,-,
Туреччиною,Туреччиною | I-LOC,LOC
",",-,
ООН,ООН | I-ORG,
вважає,-,
цю,-,
територію,-,
окупованою,-,
Туреччиною,Туреччиною | I-LOC,LOC
</S>,-,
<S>,-,
"""",-,
Республіка,-,LOC
Кірибаті,-,LOC
"""",-,
(,-,
",",-,
",",-,
кірибаті,кірибаті | I-LOC,
"""",-,
Ribaberikin,-,
Kiribati,-,
"""",-,
",",-,
),-,
—,-,
острівна,-,
держава,-,
",",-,
розташована,-,
на,-,
островах,-,
та,-,
атолах,атолах | I-LOC,
в,-,
центральній,-,
та,-,
західній,-,
частині,-,
Тихого,-,
океану,-,
",",-,
що,-,
складається,-,
з,-,
трьох,-,
груп,-,
коралових,-,
атолів,-,
і,-,
вулканічного,-,
острова,-,
.,-,
Межує,-,
на,-,
заході,-,
з,-,
територіальними,-,
водами,-,
Маршаллових,-,LOC
Островів,-,LOC
та,-,
Федеративних,-,LOC
штатів,-,LOC
Мікронезії,Мікронезії | I-LOC,LOC
",",-,
на,-,
заході,-,
та,-,
південному,-,
-,-,
заході,-,
з,-,
територіальними,-,
водами,-,
Науру,Науру | I-LOC,LOC
",",-,
Соломонових,Соломонових | I-LOC,LOC
Островів,Островів | I-LOC,LOC
та,-,
Тувалу,Тувалу | I-LOC,LOC
",",-,
на,-,
півдні,-,
та,-,
південному,-,
-,-,
сході,-,
межує,-,
з,-,
територіальними,-,
водами,-,
Токелау,Токелау | I-LOC,LOC
",",-,
островів,-,LOC
Кука,Кука | I-PER,LOC
та,-,
Французької,Французької | I-LOC,LOC
Полінезії,Полінезії | I-LOC,LOC
",",-,
на,-,
півночі,-,
та,-,
північному,-,
-,-,
сході,-,
межує,-,
з,-,
нейтральними,-,
тихоокеанськими,-,
водами,-,
.,-,
Довжина,-,
прибережної,-,
лінії,-,
-,-,
1143,-,
км,-,
.,-,
Загальна,-,
площа,-,
островів,-,
становить,-,
"726,34",-,
км,-,
²,-,
.,-,
Населення,-,
становить,-,
</S>,-,
<S>,-,
"""",-,
Союз,-,LOC
Коморських,-,LOC
Островів,-,LOC
"""",-,
(,-,
до,-,
2002,-,
відома,-,
",",-,
як,-,
"""",-,
Федеральна,-,LOC
Ісламська,-,LOC
Республіка,-,LOC
Коморських,-,LOC
Островів,-,LOC
"""",-,
),-,
</S>,-,
<S>,-,
"""",-,
Республіка,-,LOC
